Position,Company,Location,URL
full details of Backend Developer / Développeur backend,Sportlogiq,Remote,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AAp_mjGmWhN-vjwKGW2WFcpAvV1GQnDy6Bm2NLvvhH21RTbjoDUUUN-UiTURWSo7cYbxFsIPOAhBb7EHPGxY4qkyavJbPkAr5BL8KRabZW8ItfGy0Ibt4Yol-mcvyW0toQTmspZSjLP16jhIzVzA3i_7jznOpel6eGeQ6NnMu9vyuaY7iQMgcm5Uc6Yg0alMPT_M8FnquSFTGVNPHRuXo67XfrIfbe2uIHE0iS_B_M4ETdsoo0uK-05Joa3wh80evchFy4rCvrIclJRe879fyxruU-SrHLDkLAzC4LUWbJw4aQ3FSvrHJyISM58e7R3uZjZwnEybE8rl5_Q1V_RjqbWPMa-18ofzVKQIRCp9uSSasSEnvHUOdTOUnnnfiEp2tZliRtuDRo-RtwBevlgS2QASPrchBwZNhUaX7xs6GkpcZ_GcHTo2irxN433tM2Hac1c6pKnIwKQic66hDYy4JgN50F5hyvdkvbp452Q-coNbxSrt0ofIF0ZQk0GTuNja85-ZRxe2kK2X9OkUjxZunLT8tXuYUDqN0=&xkcb=SoC9-_M3OMLGd4TOlx0BbzkdCdPP&p=10&fvj=1&vjs=3
full details of Software Engineer - PEY Intern,INTEL,Toronto  ON,https://ca.indeed.com/rc/clk?jk=2bb21dbd4c12517d&fccid=936367796261bd6e&vjs=3
full details of Python Engineer,Improvado,Remote in Toronto  ON+2 locations,https://ca.indeed.com/rc/clk?jk=36e39bbd9db601af&fccid=17e4ea83267aeb55&vjs=3
full details of Python Developer,ProVision Staffing,Hybrid remote in Toronto  ON,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CXDKpJP2OQPynRFEmFMH-wc5IvssO0lJrsfjGWcLH2TbUe6K_Wh9YOylIJX-aJAQCawUKnW32o98m3HZklifADv6yOqAvlOUKrEf1_XteU8OIsnDDbLDN65TDnj3IS3Qz9wBbxtDAVEQIERt_w3-v5sjjdHejSHlHxWGZ8nFFkx1zwRBlz6Gj30Pg3ZXBUwZlwpzk0qrMehd-S6e-r2mA15YUMxoKpJ00SOH2m9YLRRkQdG9SIyQLU80lR7LTBbOlVoNrE9fKLgWWFZuPpQwxdOShweISer7_vjCI4_iHC2ucbvuPejszPS0aTEY5MTviFL0itLglDSVPyjEsCj11mrp-RYV_MJletH2llH286nqyMOic9lJVTj6jBtHW2g7OSeHIZWhQ13WmVoquzXOe2gqC4U5EJMZkCtuGnsUXukpWnwfVP0f6QBON8XoTDU4x2Sr8e1cVJoV8nGFpPFrVVZ0S62_iU_ll73B9gk35KLQQqYvH1e-4NYXpnHWv6pnBPo6CSvDljLA==&xkcb=SoAz-_M3OMLGd4TOlx0GbzkdCdPP&p=13&fvj=1&vjs=3
full details of Python Developer,Dawn InfoTek Inc.,Hybrid remote in Scarborough  ON,https://ca.indeed.com/company/www.dawninfotek.com/jobs/Python-Developer-be9997acf2c4a1c9?fccid=b92bdfc2ac8613c3&vjs=3
full details of Sr. Systems Administrator,Olameter Corporation,Hybrid remote in Aurora  ON,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DUW2tdQO-H6SSQe7skJtI5cS0uqzQsSEkayh7ChRAPK8DBsaIRV39KW6d1e3wJ1KrWlRBoI470nJm5cTp-_SNMqUIKhz-IcE_UJkJIAApAgAOsDLx1ydrvwDQyMCNG6r32RkEVDLAl_jdJ4LrlixKgKEJoK30SwKb5ErtAW0OWGVi7C2JhM8WJ2dkjrmIUOS9jDDNh1_IcyIOh5DD9t3VeByXY2ygrY02H9kBijFOt-aT78RN7UeEextkAT-nd9ZyihAApXpyUdpSaqoXAVCzYrRJA4cYYllN1XL2R07Q0MkWZZS2zV0OXvWdRdSOatdfiznra9beJqGFTPO-xwN27BinLlxi7r1WWm2n5j5WDbSx5rVzJm5oo9hjKLB2qekdW2_r0G59gWI0CPjTvpY1bZOXJvw8G6hXL4mCmrtaCAGEjwdWEU_FnOAW2Jq22TuWpY2DVLB8kBd6NFUs4_r7pK9rMlBhjH45ZXMSLsYbEDaHxhoH072U6IePsiKjYATGBJPxco2cxjn8YOa1jyzAVS_8LPbaWBLOuCo692mCbGjjNEXPt5Wip8fZFdIex2MRow1w3RIBZ4VGWhmQgVSTQOFKgKaZHUNwDb-OXbW8Lj_mN4K3OnFqOFWHxaHdIzqMO-XSd-uRFAhxuNCyhl7yepRDuTzji8I9xeR-RGoADbbUlJxjMLI860GwKjackmqrLVmCsatJ49W3MFdz30FlJuKwwj0hnvccGGILKGV5jZWJaYPckbGiQy1MGmrhMsi9BI6hI66NxuA==&xkcb=SoDy-_M3OMLFnmWaiR0LbzkdCdPP&p=0&fvj=0&vjs=3
full details of Python Engineer,Improvado,Remote in Toronto  ON+2 locations,https://ca.indeed.com/rc/clk?jk=36e39bbd9db601af&fccid=17e4ea83267aeb55&vjs=3
full details of Data Scientist,FPT Software,Remote,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BkmKLVktVXx1WHNhCKYDvKLqwLPmvhSg5YQEBTPJpYi0s_keDRKL5jhz3kpOgEaTzExG-wSWLWxeFYzBmzKsjIbalEvPV-5jMTdcRQ01SfKqh8X9xWZ43s_rOz7guVCekcTzhClU1UDe_eUFGJuQn44bLeeie_WujBRN5vxJ6jzDlkRL7sI4TANK8gZxeUkIjRzInckBQidc-9OJqL9nKUMSiZ23zvFflAo9u9P1z6b2OZP-vCd5vLFebqfigZAlRmQyuN2ftRMtaa9vn8ued3fSBbax6SSV_ke2HbvKZUZcKyy02CHQ5NpSbBeRw4CvxNUHDv7cotl3RC8QsDTvEBLGUeUYby0mZSJNVDlCiYdYNPwL_uGDWbo0Mt_iCcssiLJywx-Sq26xwHAsWRAIdrV7HKYjLCcDFhFWS4kr8kKQCkBQ6wcpUypcO4UDKs5MZuOAQGEZvxWywOwMi8XEo-VzXM2TPv6VH87I0cHDluMmqk81c0JYqadghIsz7jcgo=&xkcb=SoDb-_M3OMLFnmWaiR0JbzkdCdPP&p=2&fvj=1&vjs=3
full details of WhereTo - Backend Engineer - Remote  Canada,Flight Centre Travel Group,Remote,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dq7qPB-BUOT8Prf7tf9oqq_Jnqv4qEOhMuUzr9XeuSc6QPl42KIASpI_ptddnyilgwITIgIfr-nb0FrgADzuW0AzJ2VmTE0o_ECeOqri3Z0Gmw1Pb7o83-8Fij5OQ9VJFLQn99OJli_NKLVhsdbQscWAtdpOWOpE1cSu3IpkVNZHSTBXS4C9Sk68aQCnTaAD8M1W7FazNB0qBpwfxXRiXgKOaGFCJ4rlXUikiU5NNrkPu9uokAamlPZrgeNf7reO-rEl4x94D5sj3eWfc8hVHWMKOy7V_4YkyNLvd2We52fcrSyXVHJhViBR47E2aOO9wOy8tCag38NBHL8V4UqQ7a0q2dKjxQ7vo9k8VvLORxAG89mXK3O9jJJnDCrz58XT5UYf3UUPiTV_QXKrnM9zJn9y6O1Nvi7xkLqJ4RnxAzitBDwKsnWx1m2dVJsTmzyBml1rUM6Sb6pJivJnrv50qqmZDoXcyHFeGfkJ2lJqdd0z8LhcfksEtggyCFNOjqOV1ap2mGJ9-t9Jf4NVD-TYlmv4akNyFSkBh9blOKvD_M-hTfFowsC_ESKzrrtuDLBaiky9Tap6ZI8ZZ09PipJYm0&xkcb=SoBv-_M3OMLFnmWaiR0IbzkdCdPP&p=3&fvj=0&vjs=3
full details of software developer,MESONS TECHNOLOGIES INC.,Scarborough  ON,https://ca.indeed.com/rc/clk?jk=752d2639208abb84&fccid=cd14264c093bac52&vjs=3
full details of Associate  Business Analyst - New Grad 2024,Capital One,Hybrid remote in Toronto  ON,https://ca.indeed.com/rc/clk?jk=0fd271de078c2432&fccid=b85c5070c3d3d8c8&vjs=3
full details of QA Engineer,ISG Search Inc,Toronto  ON,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CngyYFrWM1hC8NjdejxldHdaRKqwZKfE1iN0ynAC8fxYOq2FCBOwctZyEvhqUJ2OAWij1kALOHacUZDBv7_xsSdIgcUEyXseVOf63mxYHjskOyNMXx1m-RfiYpZ2zd8BdKBID9PoheXeR4kSRiXo-iYDk5BTm2WQrLP2R-ypvyyFWC79zbEc-cfbsR0Lwa702YPDqV3R3cFIstWLqdSh4PsFfqO0Te_9cw_pqCFC_0iIDdpJ9IFeTbwShnT62jdAWUQ9cWyTQVtvSjF9kH6kAGVeXFdmZIPtsB7z7ZnK75BVD9Zqk2ZFgPZ1A1uLyOKytuQm_R3junZqEygcSMLVyMnIOPUtdwZOpf8r7pQlgHC7eFSa-6BF7AzLvSb3prbwFXbG9wghjC_1wHJUFsWbXQ9-kzepF1O08upZFmLYBnvswq_n5tjuPJ7EeRZ-MHEGhPgr5VYbPz8EaPwcHmzrclEl2sHdbl4W008E3HU1hDA1cXyCF_coTKgrgadk1cT9hwKNMgRbvWbtJ18hp24cSQ7MofF_T7Z705CI4Ex-osdA==&xkcb=SoDI-_M3OMLFnmWaiR0NbzkdCdPP&p=6&fvj=0&vjs=3
full details of Python Developer,Zelus Inc.,Ottawa  ON,https://ca.indeed.com/company/Zelus-INC./jobs/Python-Developer-47dc6b8469bb7a35?fccid=ef960e4cd41ed569&vjs=3
full details of Développeur(euse) logiciel - Full stack (C++),AGCO - GSI électronique,Remote,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CKVrfwa4A2tCj1FjWQhhTyW0Zfkfq-nYfiraz7sZNbhATOPGK76PK1XrpMjU2uFbNaQFOVGN4YCRZVkvnzxBqx0BSnZqxwID57IvlsiFy-HNjuYJ26-dY5nq04pPg0o_4dYL2BXG38KY_ijXf2YnUbTVn6IKUNukEfWLq_Hwt9Q3QiPpB1JEW3NNtq3q0JyEu-JkSmvWv4dbomwjz3m0mPEaQLfEXasGPso2eYss3hhW68Bsyw_mRpjM21OjPCDB287BNfsFQJT0tn61m7VmcaMlENP7po8WFSNv2Wl-9e1x52uL_Qcf11zVCRZJh4xAbEc_2sfREtCB2eonSUL4dbVKj04pl6St2_tgvk0A4vsz-_pvuPdFXqXW4hjkjM0kqEjRuYNmN3yjei4Z5jRTmaC0rK74ApkJktFXgyjMaRN1p-vROOtFXuwg-BcsweFWlrY8wDgbP6euC_kGzTr5YhOEqvQLHMx5kfZQ5MtswzLTvQX9Q1t2PzOP9rMnlDnBW4VzBi5uv2hKdiF1iT-ftqXjUpH443CBE=&xkcb=SoCV-_M3OMLFnmWaiR0DbzkdCdPP&p=8&fvj=1&vjs=3
full details of Software Developer Intern  MS  Fall 2023,Google,Toronto  ON,https://ca.indeed.com/rc/clk?jk=b63c7c3b0650db32&fccid=a5b4499d9e91a5c6&vjs=3
full details of Software Development Engineer l,Biiibo Inc.,Toronto  ON,https://ca.indeed.com/rc/clk?jk=767094524d9e05a8&fccid=a8fc903ff00d41c5&vjs=3
full details of Software Developer,DNV,Hybrid remote in Toronto  ON+1 location,https://ca.indeed.com/rc/clk?jk=2b0c5dc30896d4e7&fccid=621355d16566db19&vjs=3
full details of Software Engineer (Canada),US Mobile,Remote in Toronto  ON,https://ca.indeed.com/rc/clk?jk=152f3648bf234ff2&fccid=97c9de3a4a641c87&vjs=3
full details of Expert  Enterprise Architect Observability and Platforms,Canadian National Railway,Toronto  ON,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DAI6CbHIHK7ziDV_jOOtLnedsYxrCoPLmdH4-4XVO1DYvRnbqq-KvTGDBRbkQJliIzKheRzOhkWltCOMtp6prH8eehkreryV9F8XnZGi3_NPg1ykLQfl6Mwp63T_HoZI9iRoBCZlRP9HonC88i43A286Vbgig0XWy8N239BYqB9hSXeHDSP6V5tU1tBFazJvj1SCeTz_-pjCXvY0x-YnbHkNmjQtEg1fwF76ok4LKVkENPdUY82jsNc-6kShLXkINK3beD_jddIP272tq5E5zZVlCY_9G8ki2JV9RHYmfg143QbU781-cVhNmFvEOYwaqeCp-uBZm6uL9Po5c1P3echl7-eFzKGyjnS01ocCULp1j4XE_vT07d1cfZIRVdXICi1RuSTOLf3B_6gH9oDtAk3mZYwecqhRkMsgih1zPpmrehfG3UyuMU03-N3ljMGOwAa85z0bQphNJsHferwt29nR6BX_b8c_gSkNYPo7tbUkURa_OQE-wSIUbsTUX7Q5WgldpoacFwwRaElv6xIieMLAxLLNb9OKY8XjX8KWKlhCs_vkGUafwwb0plJjWOSMOmrNOtWUWANQIqMkrGZ6OM&xkcb=SoAy-_M3OMLFnmWaiR0GbzkdCdPP&p=13&fvj=0&vjs=3
full details of software engineer,MESONS TECHNOLOGIES INC.,Scarborough  ON,https://ca.indeed.com/rc/clk?jk=607ef46ff672c391&fccid=cd14264c093bac52&vjs=3
full details of Python / Unix Developer,Atlantis IT group,Toronto  ON,https://ca.indeed.com/rc/clk?jk=9b334d810a745bd3&fccid=2009855d38d34a84&vjs=3
full details of Software Developer,Speedy Solution INC,Markham  ON,https://ca.indeed.com/company/Speedy-solution-inc/jobs/Software-Engineer-5119232f9723b6e8?fccid=8b7434ed039fc820&vjs=3
full details of Python Developer,Chartd Inc.,Remote,https://ca.indeed.com/company/Chartd-Inc./jobs/Python-Developer-ce4a79fc3fa1e9e9?fccid=ccd588f65621d787&vjs=3
full details of Quantitative Methods Analyst,Ontario Power Generation,Pickering  ON,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BUwo9UOnNpPnMVgn4a0Mj_XcMPzzLXIWaCV9lXLQpydWDiOsfLZaGRzU_ikT1DlzzxiCAx-Pz6MFRlCAL0yuIbx3T2iSzltO_nWd9lhZx9JjoGpGT3JmDIoFClNLf8Qb2k8fbNOok5QSKVeDqZybMg7OqQtHPXuVUsR6Z7ZsKDj5V_aX7xIcZ5q_SGmx1U_kmt5SRGQBecrwP1dis-GoVp4KHFtfYcCWGmVZd7ystCQjNyh889Z7-XFgjp4Oy_k4_CGVsY7RKGT9uTgRN66m7sxP14VcNAYy2VlfW0fL1X6E1_Sr5l7Jhj7BUaiCHmBx0W4UrlC3EcO_lQy24d1CdBj63Elsk5-raCx2x1o1oSv4SaYM-Q_RCUmxhC9Tv9hWIolYlZzcDNZ1yEFFinaGrVbBnDiUog8zs5r-Yov8tqFs3hcBBAFYtQwVw_UDvFITew1ntC_yY532JJ3RwReQ4bMw5fBaYp8SmGxQxxDy0woDm5bITds3s92wYpKi64ycSzynKggWe-fE5aD3IlTijqVhls_ttcteMabPp4iSlmGiPTupetC5uPNAf8W2kJG_wD9hwHqZ5VsLkG1qHeA29lBQ3jSJdJHT4kLnMbjgvJtt3Jdm55U3EvFDJSnJEOwX9QdJsEVF2SE0qxomccOCGe&xkcb=SoAs-_M3OMLFAe2JRB0IbzkdCdPP&p=3&fvj=0&vjs=3
full details of Software Developer Co-op - 4 Months,Intuit,Toronto  ON,https://ca.indeed.com/rc/clk?jk=962a74c3e2482b50&fccid=9784ae78e9834539&vjs=3
full details of Senior Full Stack Developer -Python,Hi!Funjob Inc.,Hybrid remote in Thornhill  ON,https://ca.indeed.com/company/Hi!Funjob-Inc./jobs/Full-Stack-Developer-b7f848e0c485486e?fccid=70de3ac503d90fe0&vjs=3
full details of Business Analyst Intern - Summer 2024,Capital One,Hybrid remote in Toronto  ON,https://ca.indeed.com/rc/clk?jk=19d1153230d9aa11&fccid=b85c5070c3d3d8c8&vjs=3
full details of software developer,YWI Alliance,Richmond Hill  ON,https://ca.indeed.com/rc/clk?jk=bea14d6f6a3317d8&fccid=f684bf40cbd186b0&vjs=3
